悲伤那么大,难过
我很生气,愤怒
我表示很无奈,无言
亦可赛艇,疑问
不瘦十斤不换头像,加油
尴尬不失礼貌的微笑,微笑,尴尬
心情不好看谁都是智障,生气
你经历过绝望吗,失望
我小叮当根本不在乎,傲慢
我能怎么办呢我也很无奈啊,无言
你的套路我的心,微笑,爱心
你这么厉害怎么不去青青草原抓羊,讽刺
我要上天,高兴
用我们陕西话你奏思个瓜皮,傲慢
有本事你打我,酷,鬼脸
笑死本宝宝了,笑脸
我是世界上最好看的小仙女,女孩
新的一天新的难过,难过
这位朋友请示范一下怎么滚,生气,拒绝
你的智商太感人了,猪
男人都不是好东西除了我,讽刺
大写的傻逼,猪
奖励你一朵小红花,礼物
你麻痹有我帅,酷
晚安儿子爸爸爱你,爸爸
要开学了终于可以光明正大地学习了,学习
吓得我都不敢说话了,惊讶
你不要搞事情,威胁
全tm是套路,生气
对不起我美到你了,公主
微笑中透露着疲惫,疲惫,微笑
你的小可爱已经上线了,微笑,女
请开始你的表演,舞者
我母鸡啊,无辜
宝宝心里苦啊,难过
我已使出洪荒之力,握拳
转发你就有对象,恋爱
蜜汁微笑,笑
提高一分干掉千人,加油
考的全会蒙的全对,一百分
我的内心毫无波动,无感
这他妈就很尴尬了,尴尬
有本事放学别走,威胁
说得好我一句也没听懂,讽刺
你的意思是要和我胖虎对着看咯,魔鬼
委屈到流泪,无辜
虽然啥也没复习却有一种谜一般的自信,微笑,冷汗
无所畏惧,酷
气到变形,生气
宝宝委屈但宝宝不说,难过
蓝瘦香菇,难过
你将永远失去你的宝宝,失望
我的心里只有一件事——学习,学习
累得我都坐在地上了,疲惫
又有会议午觉又没了,难过
当时我就懵逼了,头晕
我控记不住我记几啊,色眯眯
我在你脸上只看到丑,讽刺
我有小情绪了,生气
伦勃朗式惊恐,惊讶
是不是嫌我烦了,难过
说好做彼此的小天使呢,无辜
后退我要开始装逼了,胜利
对方不想和你说话并向你扔出了一个太阳,太阳
全天下都是我的,胜利
王之蔑视,胜利
有种你再说一次,生气
好生气哦可还要保持微笑,生气,微笑
别说话吻我,亲吻,恋爱
我差不多是个废人了,疲惫,郁闷
身体被掏空,困意,疲惫
没人理我掀桌走人,生气
您的小祖宗已上线,可爱
不明真相的吃瓜群众,西瓜
浪里个浪,酷
无所谓前路只是洒脱行走,酷
考完以后就能随心所欲追爱豆了,恋爱,男人
这话我没法接,皱眉
在下服了,无言
我书读得少你不要骗我,呆板,困惑
活该一辈子长得好看,点赞
没有 滚,拒绝
厉害了我的哥,一百分,点赞
给你一个眼神自己体会,机智
我爱单身 单身使我快乐,快乐,微笑,恋爱
真是一个悲伤的故事,难过
伤心到变种,难过
笑容逐渐消失,沮丧
悲伤这么大,难过
强颜欢笑,笑脸,冷汗
完美,笑脸,放松,一百分
来根辣条冷静一下,放松
你肯定会给我惊喜,礼物
送我礼物可以变瘦,礼物
群主发红包,礼物
害怕高清重置,害怕
你从我脸上看到了什么 呵呵,无言,鄙视
瞧把你能的,鄙视
好大的口气,鄙视
真是个骨络清奇的傻叉,猪,鄙视
有种你再说一次,不说话
你丑你先说,不说话
眼睛被遮住了 听不清你讲什么,听不见,看不到
假装看不见,看不到
上班好辛苦 心理更痛苦,疲惫,哭
瞧把你牛逼的,鄙视
我可能复习了假书,失望,难过
你特么在逗我,生气,绝望
保佑考好,祈祷,双手合十
我还能说什么,无奈
是不水外面有喵了,猫
吓死本兔兔了,兔子
对方向你扔了一只旋转狗,狗
doge,狗
你们地球人,外星人
喂出来尬舞了,舞者
舞蹈是每个人的天赋,舞者
热到重影,流汗
太阳与我肩并肩,流汗
我不听我不听我不听,听不见,猴子
每天呼吸着爱你的空气,恋爱
这不是真的吧,惊讶
兴奋到飞起,激动
amentia,amentia
hold hands,hold hands,love
shit,shit
my look of disgust,disgust
cute,cute
so sad,sad,so sad
are you serious,helpless,suprise
live for today,cool
speechless,speechless
kiss me,smile,kiss me












